,AAPL-BMK-MA,AAPL-MAFlat,AAPL-MAShort,AAPL-BMK-BB,AAPL-BB,CAD-BMK-MA,CAD-MAFlat,CAD-MAShort,CAD-BMK-BB,CAD-BB,EXC-BMK-MA,EXC-MAFlat,EXC-MAShort,EXC-BMK-BB,EXC-BB,FBNDX-BMK-MA,FBNDX-MAFlat,FBNDX-MAShort,FBNDX-BMK-BB,FBNDX-BB,GBP-BMK-MA,GBP-MAFlat,GBP-MAShort,GBP-BMK-BB,GBP-BB,GE-BMK-MA,GE-MAFlat,GE-MAShort,GE-BMK-BB,GE-BB,INTC-BMK-MA,INTC-MAFlat,INTC-MAShort,INTC-BMK-BB,INTC-BB,PFE-BMK-MA,PFE-MAFlat,PFE-MAShort,PFE-BMK-BB,PFE-BB,SPGSCI-BMK-MA,SPGSCI-MAFlat,SPGSCI-MAShort,SPGSCI-BMK-BB,SPGSCI-BB,SPY-BMK-MA,SPY-MAFlat,SPY-MAShort,SPY-BMK-BB,SPY-BB,VBTIX-BMK-MA,VBTIX-MAFlat,VBTIX-MAShort,VBTIX-BMK-BB,VBTIX-BB,XPT-BMK-MA,XPT-MAFlat,XPT-MAShort,XPT-BMK-BB,XPT-BB
AAPL-BMK-MA,1.0,0.7985588169163422,0.2757509305513969,1.0,0.23267476734902318,0.18657579073886138,0.11905982682182781,-0.02273896697663843,0.18657579073886138,0.05889794491725318,0.1728100899542294,0.05610462736126568,-0.09457316021320106,0.1728100899542294,0.08540941784007747,-0.13505576384852916,-0.09875004050846468,-0.005393203011231296,-0.13505576384852916,0.021426408581489184,0.03440109951229515,0.00047068202075966356,-0.03383739270853445,0.03440109951229515,0.006251128098522777,0.3394004214756417,0.19385989762520986,-0.14163157654422992,0.3394004214756417,0.15966382941065288,0.46371556901965083,0.2986527601769983,-0.10469480816017904,0.46371556901965083,0.13678570096186515,0.1969900305997463,0.11126072236946424,-0.06039385671417879,0.1969900305997463,0.06880833788598524,0.09604964448876342,0.03684349330466158,-0.0419405144620826,0.09604964448876342,0.0334329041135964,0.4930331130920988,0.32702946802800614,-0.10327997636784185,0.4930331130920988,0.23128611291226434,-0.17115331541464382,-0.11903439385064771,-0.009009043068148825,-0.17115331541464382,0.048375600029481804,0.08168564224800731,0.06903737656734085,0.015875760496941196,0.08168564224800731,0.026782128323259217
AAPL-MAFlat,0.7985588169163422,1.0,0.7987832793027062,0.7985588169163422,0.2128298719586381,0.13146229785739588,0.13398525627523275,0.052917359101514266,0.13146229785739588,0.036377180751976546,0.09229763200255534,0.0799878977109479,0.019238489731404313,0.09229763200255534,0.015807260623128042,-0.10090162511628602,-0.08377336164346949,-0.018251062735915934,-0.10090162511628602,0.01413817553394695,0.026314500195233046,0.03780850744501055,0.020042129706101,0.026314500195233046,-0.008789842122911718,0.19336553004419005,0.1915416928522214,0.002066999920053926,0.19336553004419005,0.04635162906120619,0.29097785093274153,0.31576814483061133,0.08862064232285563,0.29097785093274153,0.05343746513881388,0.10771535173665586,0.08939244673284054,0.0020338547838126306,0.10771535173665586,0.005696453855372885,0.05787320570306202,0.04609800563885538,0.009846515230867738,0.05787320570306202,0.029076430267365616,0.3080715143868345,0.3513939384484548,0.11071167020247907,0.3080715143868345,0.09350614202113201,-0.11752309813722923,-0.0957267312483246,-0.027361510270012837,-0.11752309813722923,0.033382060068838794,0.07795029498244255,0.08090235987338902,0.036384520579209274,0.07795029498244255,0.024925463782186415
AAPL-MAShort,0.2757509305513969,0.7987832793027062,1.0,0.27575093055139693,0.10731838744906742,0.023454855927943212,0.09496643452256597,0.10723392335603317,0.023454855927943212,-0.0007763697008456625,-0.02533014667488301,0.07165956300917746,0.1252491987023946,-0.02533014667488301,-0.060123790660454646,-0.026145613398183023,-0.03508044122242279,-0.023755443650731796,-0.026145613398183023,0.0011621111205472304,0.007638785263303612,0.059907728309118405,0.06582686164836392,0.007638785263303612,-0.020284945019118306,-0.030437964436154718,0.11211795557554316,0.14486236749313441,-0.030437964436154718,-0.08556371792749926,0.0011901053157316187,0.20576000126952207,0.2461654480719961,0.0011901053157316187,-0.05138120891254805,-0.024876840708458144,0.03154933161484832,0.06361192384085616,-0.024876840708458144,-0.059677348276855564,-0.003581672062500082,0.036790807256509246,0.05764411834585573,-0.003581672062500082,0.013017157036108182,-0.0008152563102789041,0.2342898373514448,0.28002951420764516,-0.0008152563102789041,-0.08184730165695944,-0.016609536894369885,-0.03389502336627052,-0.034690293804786054,-0.016609536894369885,0.0049577187545647725,0.04283726571553072,0.06019356212481224,0.04223624295023643,0.04283726571553072,0.013035768231858702
AAPL-BMK-BB,1.0,0.7985588169163422,0.27575093055139693,1.0,0.23267476734902318,0.18657579073886138,0.11905982682182781,-0.02273896697663843,0.18657579073886138,0.05889794491725318,0.1728100899542294,0.05610462736126568,-0.09457316021320106,0.1728100899542294,0.08540941784007747,-0.13505576384852916,-0.09875004050846468,-0.005393203011231296,-0.13505576384852916,0.021426408581489184,0.03440109951229515,0.00047068202075966356,-0.03383739270853445,0.03440109951229515,0.006251128098522777,0.3394004214756417,0.19385989762520986,-0.14163157654422992,0.3394004214756417,0.15966382941065288,0.46371556901965083,0.2986527601769983,-0.10469480816017904,0.46371556901965083,0.13678570096186515,0.1969900305997463,0.11126072236946424,-0.06039385671417879,0.1969900305997463,0.06880833788598524,0.09604964448876342,0.03684349330466158,-0.0419405144620826,0.09604964448876342,0.0334329041135964,0.4930331130920988,0.32702946802800614,-0.10327997636784185,0.4930331130920988,0.23128611291226434,-0.17115331541464382,-0.11903439385064771,-0.009009043068148825,-0.17115331541464382,0.048375600029481804,0.08168564224800731,0.06903737656734085,0.015875760496941196,0.08168564224800731,0.026782128323259217
AAPL-BB,0.23267476734902318,0.2128298719586381,0.10731838744906742,0.23267476734902318,1.0,0.01792700688775872,-0.0035032127148432175,-0.022748967268809043,0.01792700688775872,0.0685540315731058,0.05057729783504638,-0.017292422364423604,-0.07468749713430116,0.05057729783504638,0.07591649515014423,-0.03846952835722579,-0.003884471786512697,0.03295583882791926,-0.03846952835722579,-0.006909596799681382,0.006927268088443274,0.020316138704612637,0.01798497954505872,0.006927268088443274,0.029838379384588207,0.06233790262260445,0.013020908766190309,-0.04906241786194237,0.06233790262260445,0.1222635658267015,0.08309222896750441,0.064288701346244,-0.005808338719253401,0.08309222896750441,0.24640428906173273,0.04558279159750152,-0.01128294947358748,-0.059436288848002373,0.04558279159750152,0.05640072912083767,0.00639711778845829,-0.02563658463969037,-0.04407013615259893,0.00639711778845829,0.022218639236139818,0.10110349285458244,0.03422318257276936,-0.06031469347142103,0.10110349285458244,0.24095689976074297,-0.04789077234214867,0.005898144616115019,0.05681539845010993,-0.04789077234214867,0.0018345398314699342,0.011875835905315092,-0.0077662610692618384,-0.02285821396765935,0.011875835905315092,0.025757466318673667
CAD-BMK-MA,0.18657579073886138,0.13146229785739588,0.023454855927943212,0.18657579073886138,0.01792700688775872,1.0,0.6880873109338645,-0.05312705091620982,1.0,0.023750765855086085,0.27392903821632336,0.12482089546249976,-0.09987249222804885,0.27392903821632336,0.10878272949846743,-0.025402695174511394,-0.05731790468675698,-0.056136382285258433,-0.025402695174511394,0.08841511442225113,0.4374158910267201,0.2432233073780832,-0.13930762816128345,0.4374158910267201,0.025869492733970274,0.29670579687458176,0.20490228241001893,-0.08765940146864672,0.29670579687458176,0.1392350589706434,0.23213880591212138,0.17796447556175557,-0.01820097804972913,0.23213880591212138,0.054725954302672665,0.2220508832508935,0.1744157058122189,-0.007916856510758493,0.2220508832508935,0.09030124988170937,0.40813184449961754,0.2599829371230499,-0.02623225166743346,0.40813184449961754,0.05574543139553354,0.4417313918079514,0.28800719892576293,-0.09848467162900547,0.4417313918079514,0.2055677683294045,-0.09747763980141573,-0.10569035265130035,-0.062485762015887014,-0.09747763980141573,0.07717575712259442,0.31516344724333767,0.23788561001005198,0.020997101998513804,0.31516344724333767,0.04685737125221169
CAD-MAFlat,0.11905982682182781,0.13398525627523275,0.09496643452256597,0.11905982682182781,-0.0035032127148432175,0.6880873109338645,1.0,0.6880470926449691,0.6880873109338645,-0.08267502989544007,0.1270383186329112,0.10388342265076274,0.017818282150061728,0.1270383186329112,0.04469149997200496,-0.06698463547968117,-0.07020538630269738,-0.032875890479291535,-0.06698463547968117,0.03916889071874642,0.27329109070642216,0.28531592491099594,0.07650252519913543,0.27329109070642216,-0.04844447929819687,0.17268175207796996,0.2288440948110291,0.06082267961019303,0.17268175207796996,0.08043055267967894,0.13831048329554432,0.18150198330301148,0.07988126950067836,0.13831048329554432,0.033668382993971624,0.11307990099871038,0.11675506820061377,0.03026357747890347,0.11307990099871038,0.04898612756991588,0.24328859013553594,0.27348452614181734,0.15850142978289752,0.24328859013553594,-0.00968987133332999,0.2365672908614657,0.3090751632040711,0.13178019277731662,0.2365672908614657,0.106224923579627,-0.09338837158474719,-0.08561418421625845,-0.036190164573303665,-0.09338837158474719,0.05390213207289982,0.20683893118484814,0.26066802936206884,0.16156418689465255,0.20683893118484814,-0.02967251227802053
CAD-MAShort,-0.02273896697663843,0.052917359101514266,0.10723392335603317,-0.02273896697663843,-0.022748967268809043,-0.05312705091620982,0.6880470926449691,1.0,-0.05312705091620981,-0.13752695677267932,-0.09911703972283598,0.018133853116682957,0.12439873647279592,-0.09911703972283598,-0.04728531977249239,-0.06677825351133741,-0.0392936691745774,0.01089649972818404,-0.06677825351133741,-0.034516686576064125,-0.06134372446817101,0.149407287890771,0.24459547290226052,-0.06134372446817101,-0.09253871880838788,-0.05908184577394341,0.11001545642808502,0.1713663898501257,-0.05908184577394341,-0.02855621727429535,-0.04181218990280159,0.07180385860209829,0.1281321864735302,-0.04181218990280159,-0.008395392747823924,-0.0664453217918499,-0.013749983951662104,0.049565117133341684,-0.0664453217918499,-0.022892728766652833,-0.07334669710918423,0.11636475459947312,0.24435863265785823,-0.07334669710918423,-0.0690832768219052,-0.11619766447286393,0.13731780713176084,0.2798418699977863,-0.11619766447286393,-0.05939495875355575,-0.031035565439317795,-0.012123813137452557,0.012685206695118608,-0.031035565439317795,-0.003001285495810457,-0.030534361679145413,0.12082555741155813,0.20134167303554737,-0.030534361679145413,-0.08769427186637582
CAD-BMK-BB,0.18657579073886138,0.13146229785739588,0.023454855927943212,0.18657579073886138,0.01792700688775872,1.0,0.6880873109338645,-0.05312705091620981,1.0,0.023750765855086085,0.27392903821632336,0.12482089546249976,-0.09987249222804885,0.27392903821632336,0.10878272949846743,-0.025402695174511394,-0.05731790468675698,-0.056136382285258433,-0.025402695174511394,0.08841511442225113,0.4374158910267201,0.2432233073780832,-0.13930762816128345,0.4374158910267201,0.025869492733970274,0.29670579687458176,0.20490228241001893,-0.08765940146864672,0.29670579687458176,0.1392350589706434,0.23213880591212138,0.17796447556175557,-0.01820097804972913,0.23213880591212138,0.054725954302672665,0.2220508832508935,0.1744157058122189,-0.007916856510758493,0.2220508832508935,0.09030124988170937,0.40813184449961754,0.2599829371230499,-0.02623225166743346,0.40813184449961754,0.05574543139553354,0.4417313918079514,0.28800719892576293,-0.09848467162900547,0.4417313918079514,0.2055677683294045,-0.09747763980141573,-0.10569035265130035,-0.062485762015887014,-0.09747763980141573,0.07717575712259442,0.31516344724333767,0.23788561001005198,0.020997101998513804,0.31516344724333767,0.04685737125221169
CAD-BB,0.05889794491725318,0.036377180751976546,-0.0007763697008456625,0.05889794491725318,0.0685540315731058,0.023750765855086085,-0.08267502989544007,-0.13752695677267932,0.023750765855086085,1.0,0.06265279622085482,0.0034988909944272,-0.05777176315770751,0.06265279622085482,0.1257959485667421,-0.023705176557847783,-0.04953622726262387,-0.04676328851739756,-0.023705176557847783,0.06480605999769616,-0.008437714960699236,-0.05222720691407158,-0.05560850713977254,-0.008437714960699236,0.19803685350939423,0.06243763649148739,0.045132413629713534,-0.01639183961706959,0.06243763649148739,0.13956322850904548,0.06660687696162687,0.0320973694659592,-0.028021755019004318,0.06660687696162687,0.1358827492465029,0.07483594020348346,0.03449124636615902,-0.032490876431947695,0.07483594020348346,0.12070368617243332,0.022688082335912466,-0.03863757668583972,-0.07947011224568411,0.022688082335912466,0.19345257974427427,0.12764460077871786,0.06572916120626641,-0.049307739796280545,0.12764460077871786,0.26278554380044944,-0.048887827724397134,-0.059014535398845075,-0.040431023291428086,-0.048887827724397134,0.030126058708510612,-0.03765181178984408,-0.06504110130156637,-0.05427589277295899,-0.03765181178984408,0.09608116222725961
